event,n_produced,n_wall,n_pmt,first_residual_ns
1688,1429402,1362217,0,0.29082
1689,5599378,5428050,0,0.028864
1690,102859,99345,0,0.0323513
1691,769880,751055,0,0.133256
1692,26242,26022,0,0.0158845
1693,1399364,1330246,0,0.11702
1694,1870174,1839104,0,0.107033
1695,56080,54922,0,-1.01724
1696,23280,22967,0,0.0668851
1697,1458,1443,0,0.000592544
1698,326544,321491,0,2.80538
1699,789513,776360,0,0.345669
1700,197686,193137,0,0.0971573
1701,49989,49399,0,0.0147676
1702,102703,98140,0,0.124646
1703,3561,3532,0,0.00942743
1704,430,430,0,-0.00161169
1705,452,452,0,-0.000387478
1706,1212054,1164591,0,0.288756
1707,1196,1190,0,-0.000611392
1708,1161340,1137416,0,0.248919
1709,30966,30722,0,0.0549598
1710,361571,356119,0,0.00999348
1711,316246,311137,0,0.0264279
1712,945431,896502,0,0.545903
1713,668162,630963,0,0.223712
1714,2667,2660,0,0.00886483
1715,0,0,0,0
1716,119095,115069,0,0.0646939
1717,66462,65526,0,0.00959469
1718,112395,111620,0,0.0781184
1719,53711,53129,0,0.110678
1720,1588415,1544626,0,0.0908916
1721,177288,174688,0,0.0102712
1722,3545,3530,0,0.0368046
1723,76487,74051,0,0.168657
1724,609688,597573,0,0.204508
1725,4622103,4552208,0,0.168503
1726,8699819,8439980,0,0.173741
1727,151339,149583,0,0.136636
1728,1140624,1087933,0,0.259468
1729,7727,7642,0,0.0430936
1730,1804303,1755544,0,0.394792
1731,40774,39945,0,0.0348315
1732,57653,57158,0,0.0688239
1733,4737791,4537787,0,0.461535
1734,2699796,2588683,0,0.181525
1735,6420089,6327093,0,0.099342
1736,223051,217842,0,0.540159
1737,1168182,1131914,0,0.107287
1738,911899,875519,0,0.209462
1739,25279246,24107130,0,0.609685
1740,13613003,13289585,0,0.0286978
1741,7375,7243,0,0.0441684
1742,6494933,6383738,0,0.274324
1743,390738,386116,0,0.0235264
1744,298336,293479,0,0.171257
1745,171624,165644,0,0.0458237
1746,51872,51363,0,0.0175346
1747,190366,187810,0,0.267478
1748,416079,397117,0,0.00680798
1749,327205,321712,0,0.0982737
1750,74964,72114,0,0.0134989
1751,295296,289912,0,0.212208
1752,651749,644243,0,0.0133296
